Server,Connections,Packets,Bytes (K)
11.11.11.107:80,14569,471008,31079.746
11.11.11.106:80,16552,1991651,133190
11.11.11.103:80,16652,2005448,134078
11.11.11.102:80,16868,1988155,133040
