Server,Connections,Packets,Bytes (K)
11.11.11.107:80,6731,386084,25439.942
11.11.11.106:80,19525,2168086,144888
11.11.11.103:80,17376,1998357,133322
11.11.11.102:80,17521,1964912,131037
