Server,Connections,Packets,Bytes (K)
11.11.11.107:80,69927,168246,11263.992
11.11.11.106:80,152017,534487,37129.154
11.11.11.103:80,184838,586125,40662.456
11.11.11.102:80,142272,520000,36267.192
