       eth0       
 Kbps in  Kbps out
81140.73      0.00
80119.41      7.18
82344.65      0.00
82905.07      0.00
79000.25      0.00
77386.35      0.00
78457.76      0.00
79757.07      0.00
80033.50      0.00
82358.33      0.00
81366.90      0.00
78854.74      0.00
74870.69      0.00
73188.11      0.00
73790.91      0.00
68910.95      0.00
77066.25      0.00
69049.06      0.00
70271.62      0.00
81923.34      0.00
77201.30      0.00
70249.41      0.00
75323.69      0.00
70959.44      0.00
70478.82      0.00
73968.77      0.00
75663.22      0.00
74904.35      0.00
78417.19      0.00
77061.33      0.00
81078.72      0.00
81472.91      0.00
61562.30      0.00
61588.96      0.00
