feedback-interval,server-script,lb-script,memcache-daemon
1ms,18.0,10.0,23.3
5ms,6.6,5.7,8.3
20ms,2.0,3.7,3.3
200ms,0.7,0.7,0.7
600ms,0.3,0.3,0.3
1000ms,0.2,0.2,0.3
5000ms,0.2,0.2,0.2
