11.11.11.112:OutBytes,172.16.116.116:Conns,11.11.11.112:InPkts,11.11.11.112:Conns,172.16.116.116:InPkts,11.11.11.112:InBytes,11.11.11.112:OutPkts,172.16.116.116:InBytes,172.16.116.116:OutBytes,172.16.116.116:OutPkts
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,29,197,29,197,12563,0,12563,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,31,209,31,209,13337,0,13337,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
0,33,221,33,221,14111,0,14111,0,0
