Server,Connections,Packets,Bytes (K)
11.11.11.107:80,104036,350458,24199.922
11.11.11.106:80,125328,638565,42482.232
11.11.11.103:80,125327,638468,42474.164
11.11.11.102:80,125309,638258,42463.048
