Server,Connections,Packets,Bytes (K)
11.11.11.107:80,38562,153799,10622.062
11.11.11.106:80,130968,71862,45803.168
11.11.11.103:80,183002,876136,60562.528
11.11.11.102:80,127468,659241,45001.134
