Response status 3xx,Response status 1xx,Response status 4xx,Request rate,Rate,Response status 5xx,Response time,Response status 2xx,Number of requests
0,0,0,20.0,20,0,3.6,2000,2000
0,0,0,40.0,40,0,9.5,2000,2000
0,0,0,59.2,60,0,34.8,1852,1972
0,0,0,78.6,80,0,17.9,1901,1966
0,0,0,98.0,100,0,14.1,1993,2000
0,0,0,118.9,120,0,21.9,1976,1996
0,0,0,137.6,140,0,21.4,1959,1965
0,0,0,160.0,160,0,11.8,1997,2000
0,0,0,180.0,180,0,11.4,1999,2000
0,0,0,200.0,200,0,16.5,1994,2000
0,0,0,219.7,220,0,23.6,1980,2000
0,0,0,223.2,240,0,19.7,1962,1989
0,0,0,236.4,260,0,14.8,1926,1978
0,0,0,247.6,280,0,14.4,1921,1960
0,0,0,256.4,300,0,19.8,1907,1954
0,0,0,238.2,320,0,12.0,1901,1959
0,0,0,256.3,340,0,16.7,1898,1944
0,0,0,299.7,360,0,21.9,1895,1942
0,0,0,316.3,380,0,23.6,1890,1941
0,0,0,323.8,400,0,26.5,1891,1924
0,0,0,322.9,420,0,60.8,1822,1856
0,0,0,312.8,440,0,96.6,1693,1734
0,0,0,323.4,460,0,82.4,1689,1729
0,0,0,328.4,480,0,97.0,1661,1703
0,0,0,290.9,500,0,172.3,1379,1457
0,0,0,327.6,520,0,134.7,1526,1587
0,0,0,293.2,540,0,189.2,1300,1381
0,0,0,285.2,560,0,187.3,1199,1301
0,0,0,302.1,580,0,165.7,1270,1343
0,0,0,287.4,600,0,227.3,1121,1241
0,0,0,260.3,620,0,219.5,907,1103
0,0,0,222.1,640,0,261.5,778,916
0,0,0,245.3,660,0,260.7,810,995
0,0,0,260.6,680,0,245.2,856,1027
0,0,0,224.4,700,0,293.5,605,866
0,0,0,247.6,720,0,262.5,697,938
0,0,0,225.1,740,0,311.4,597,837
0,0,0,262.7,760,0,267.5,750,956
0,0,0,116.7,780,0,367.0,255,416
0,0,0,206.5,800,0,321.4,481,728
0,0,0,212.6,820,0,314.6,489,737
0,0,0,193.0,840,0,341.4,389,657
0,0,0,207.5,860,0,307.7,432,697
0,0,0,205.2,880,0,311.5,434,674
0,0,0,209.9,900,0,315.1,412,676
0,0,0,217.3,920,0,317.5,421,695
0,0,0,219.0,940,0,309.9,425,690
0,0,0,198.9,960,0,368.8,380,613
0,0,0,223.2,980,0,314.4,451,681
0,0,0,251.0,1000,0,317.6,508,756
