       eth0       
 Kbps in  Kbps out
54402.58      1.73
54102.10     11.17
51938.44      0.52
50015.76      0.62
49440.05      0.62
53832.68      0.62
55151.55      0.62
52843.15      0.62
50856.72      0.62
55033.44      0.62
55867.92      0.62
55754.53      0.62
54797.73      0.62
55197.78      0.62
53146.07      0.62
50123.29      0.62
49402.73      0.62
49528.52      0.62
49956.36      0.62
52153.49      0.62
52751.31      0.62
55286.75      0.62
52863.52      0.62
55226.58      1.23
55613.43      0.33
52582.57      0.62
53715.06      0.62
55006.53      0.62
50789.92      0.62
51041.97      0.62
55283.44      0.62
54114.49      0.62
