       eth0       
 Kbps in  Kbps out
35777.39      0.52
34559.06     11.06
35624.79      0.62
35511.58      0.62
31008.98      0.62
35613.51      0.62
35567.04      0.62
35667.74      0.62
32087.06      0.62
35664.91      0.62
35605.38      0.62
31988.73      0.62
35745.08      0.62
33722.00      0.62
32048.40      0.62
36165.50      0.62
33148.47      0.62
35798.35      0.62
36738.14      0.62
36126.54      0.62
35058.06      0.62
35035.32      0.62
33109.57      0.62
33088.68      0.62
35713.83      0.62
36838.70      0.62
35609.69      0.62
36803.44      0.62
35715.85      0.62
36827.10      0.62
35742.62      0.62
31260.24      0.62
28946.91      0.62
