       eth0       
 Kbps in  Kbps out
 3799.96      0.00
 4170.31      7.36
 3571.38      0.00
 3471.16      0.00
 5114.58      0.00
 3711.23      0.00
 4579.91      0.00
 3990.67      0.00
 3485.26      0.00
 4759.70      0.00
 3786.94      0.00
 3876.26      0.00
 4371.19      0.00
 4723.32      0.00
 2744.98      0.00
 4478.72      0.00
 4229.90      0.00
 3890.77      0.00
 3988.33      0.00
 4028.51      0.00
 4479.46      0.00
 3915.84      0.00
 4618.27      0.00
 4519.92      0.00
 3661.11      0.00
 3372.43      0.00
 3539.46      0.00
 3497.54      0.00
 4412.13      0.00
 3844.99      0.00
 3763.72      0.52
 3851.06      0.00
 2874.21      0.00
