       eth0       
 Kbps in  Kbps out
17870.98      0.00
17334.88      6.85
15633.85      0.00
17828.43      0.00
17014.18      0.00
18075.46      0.00
18219.49      0.00
18518.70      0.00
18572.57      0.00
18896.53      0.00
18975.56      0.00
18361.37      0.00
18896.89      0.00
17035.23      0.00
18890.05      0.00
18913.50      0.00
16506.24      0.00
18826.71      0.00
18945.28      0.00
18366.15      0.00
17838.12      0.00
18368.92      0.00
18934.49      0.00
18349.55      0.00
17175.78      0.00
18000.72      0.00
18608.85      0.00
16653.81      0.00
18519.91      0.00
16180.81      0.00
18072.32      0.52
18025.02      0.00
16986.39      0.00
18033.85      0.00
17976.83      0.00
18036.01      0.00
15405.94      0.00
