Server,Connections,Packets,Bytes (K)
11.11.11.107:80,225467,446597,30055.658
11.11.11.106:80,101920,446773,30955.478
11.11.11.103:80,98997,428151,29886.006
11.11.11.102:80,98733,427618,29738.254
