       eth0       
 Kbps in  Kbps out
    4.60      0.51
    2.67     14.16
    0.33      5.85
    0.33      5.85
    4.60      0.00
    0.32      5.69
    0.33      5.85
    0.33      5.85
    0.33      5.85
    0.33      5.85
    0.33      0.00
    4.60      5.85
    0.33      5.85
    0.33      5.85
    0.33      5.85
    9.52      5.84
    0.33      0.00
    4.93      5.85
    4.60      5.85
    0.33      5.85
    0.33      5.85
    0.33      5.85
    4.60      0.00
    0.33      5.85
    0.33      5.85
    0.33      5.85
    0.33      5.85
    0.33      5.85
    0.33      0.00
    4.60      5.85
    0.32      5.66
  465.86     18.93
