       eth0       
 Kbps in  Kbps out
    0.33    736.94
    7.27    611.16
    4.93    766.69
    0.33    795.92
    0.33      0.00
    0.33    705.87
    4.60    831.05
    0.33    719.87
    0.33    702.33
    0.33    790.08
    0.00      0.00
    0.33    825.16
    0.33    684.76
    0.33    696.46
    4.93    819.37
    0.33    713.29
    0.33      0.00
    4.60    684.76
    4.93    778.40
    4.93    731.58
    4.93    736.73
    0.33    760.84
    0.33      0.00
    0.33    866.21
    4.60    620.38
    0.33    764.73
    0.33    743.31
    0.33    749.13
    0.00      0.00
    0.33    743.28
    0.33    778.36
    1.76    872.54
