11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight
0,0,0,0,0,97,0,99,99
0,0,0,0,0,97,0,99,99
0,0,0,0,0,97,0,99,99
0,0,0,0,0,97,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,44,0,99,99
0,0,0,0,0,97,0,99,99
0,0,0,0,0,97,0,99,99
0,0,0,0,0,97,0,99,74
0,0,0,0,0,97,0,99,74
0,0,0,0,0,97,0,99,74
0,0,0,0,0,97,0,99,74
0,0,0,0,0,97,0,99,74
0,0,0,0,0,99,0,99,74
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,96
0,0,0,0,0,99,0,99,96
0,0,0,0,0,99,0,99,96
0,0,0,0,0,62,0,99,96
0,0,0,0,0,62,0,99,96
0,0,0,0,0,62,0,99,98
0,0,0,0,0,62,0,99,98
0,0,0,0,0,62,0,99,98
0,0,0,0,0,94,0,99,98
0,0,0,0,0,94,0,99,98
0,0,0,0,0,94,0,99,99
0,0,0,0,0,94,0,99,99
0,0,0,0,0,94,0,99,99
0,0,0,0,0,94,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,78,99
0,0,0,0,0,99,0,78,99
0,0,0,0,0,99,0,78,99
0,0,0,0,0,49,0,78,99
0,0,0,0,0,49,0,78,99
0,0,0,0,0,49,0,78,99
0,0,0,0,0,49,0,78,99
0,0,0,0,0,49,0,99,99
0,0,0,0,0,49,0,99,99
0,0,0,0,0,49,0,99,99
0,0,0,0,0,49,0,99,99
0,0,0,0,0,49,0,99,99
0,0,0,0,0,49,0,99,99
0,0,0,0,0,49,0,99,99
0,0,0,0,0,98,0,99,99
0,0,0,0,0,98,0,99,93
0,0,0,0,0,98,0,99,93
0,0,0,0,0,98,0,99,93
0,0,0,0,0,99,0,99,93
0,0,0,0,0,99,0,99,93
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,6
0,0,0,0,0,99,0,99,6
0,0,0,0,0,99,0,99,6
0,0,0,0,0,78,0,99,6
0,0,0,0,0,78,0,99,6
0,0,0,0,0,78,0,99,99
0,0,0,0,0,78,0,99,99
0,0,0,0,0,78,0,99,99
0,0,0,0,0,78,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,89,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,99,0,99,99
0,0,0,0,0,56,0,99,99
0,0,0,0,0,56,0,99,99
0,0,0,0,0,56,0,99,99
0,0,0,0,0,56,0,99,99
0,0,0,0,0,56,0,99,99
0,0,0,0,0,56,0,24,99
0,0,0,0,0,56,0,24,99
0,0,0,0,0,56,0,24,99
0,0,0,0,0,99,0,24,99
0,0,0,0,0,99,0,24,99
0,0,0,0,0,99,0,24,99
0,1,0,0,0,99,0,24,99
0,0,0,1,1,99,0,24,99
0,0,0,1,1,99,0,99,99
1,1,0,0,1,99,0,99,99
1,1,0,1,1,99,0,99,99
1,1,0,1,1,99,0,99,99
1,1,1,1,2,99,0,99,53
2,1,0,1,1,99,1,99,53
1,1,1,1,1,99,1,99,53
1,2,1,0,0,99,2,9,53
0,2,2,0,0,99,2,9,53
0,2,2,0,1,97,2,9,53
0,3,2,0,1,97,2,9,74
0,2,2,1,0,97,3,9,74
0,2,2,1,0,97,3,99,74
0,3,2,0,0,97,3,99,74
0,3,2,0,0,97,3,99,74
0,3,2,0,0,96,3,99,74
0,3,2,0,0,96,3,99,99
0,3,2,0,0,96,3,99,99
0,3,2,0,0,96,3,99,99
0,3,2,0,0,96,3,99,99
0,3,2,0,0,49,3,99,99
0,3,2,0,0,49,3,99,99
1,3,2,0,0,49,3,99,94
1,3,2,1,1,49,3,99,94
0,4,3,0,1,99,3,99,94
1,4,3,0,1,99,3,99,94
1,4,3,1,1,99,3,99,89
0,4,4,1,1,99,4,99,89
0,5,4,0,1,99,4,24,89
0,5,4,0,1,49,4,24,89
0,5,4,0,0,49,5,24,89
0,5,4,1,0,49,5,24,95
1,5,4,1,0,49,5,99,95
1,6,4,0,0,49,5,99,95
0,6,5,0,0,74,5,99,95
0,6,5,0,0,74,5,99,6
0,6,5,0,0,74,5,99,6
0,6,5,0,0,74,5,98,6
0,6,5,0,0,74,5,98,6
0,6,5,0,0,74,5,98,6
0,6,5,0,0,99,5,98,6
0,6,5,0,0,99,5,98,6
0,6,5,0,0,99,5,98,99
1,6,5,0,1,99,5,98,99
1,6,5,1,1,99,5,99,99
0,6,6,1,0,53,6,99,99
1,6,6,1,0,53,6,99,99
1,6,6,1,1,53,6,99,99
1,7,6,0,1,53,6,99,99
0,7,7,1,1,53,6,99,99
0,7,7,1,0,53,7,99,99
0,8,7,0,0,53,7,99,99
0,8,7,0,0,53,7,33,99
0,8,7,0,0,96,7,33,99
0,8,7,0,1,96,7,33,99
0,8,7,1,0,96,8,33,98
0,8,7,1,0,96,8,33,98
0,8,7,1,0,96,8,33,98
0,9,7,0,0,96,8,99,98
0,9,7,0,0,99,8,99,98
0,9,7,0,0,99,8,99,98
0,9,7,0,0,99,8,99,1
0,9,7,0,0,99,8,99,1
0,9,7,0,0,99,8,99,1
0,9,7,0,0,99,8,99,1
0,9,7,0,0,99,8,99,1
1,9,7,0,0,99,8,99,1
1,9,7,0,1,99,8,99,99
1,9,7,0,1,99,8,99,99
1,9,8,1,0,99,9,7,99
0,9,9,1,1,99,9,7,99
1,9,9,1,1,3,9,7,99
0,10,10,0,0,3,10,7,99
0,10,10,0,0,3,10,7,99
0,10,10,0,0,3,10,99,99
0,10,10,0,0,3,10,99,99
0,10,10,0,0,3,10,99,99
0,10,10,1,0,3,10,99,99
0,10,10,1,1,99,10,99,99
0,10,10,1,1,99,10,99,99
0,11,10,0,1,99,10,99,99
0,11,10,0,0,99,11,99,99
0,11,10,0,0,99,11,99,99
0,11,10,0,0,99,11,99,99
0,11,10,0,0,99,11,99,99
0,11,10,0,0,98,11,99,99
0,11,10,0,0,98,11,99,99
0,11,10,0,0,98,11,99,98
0,11,10,0,0,98,11,99,98
1,11,10,0,0,99,11,97,98
1,11,10,0,1,99,11,97,98
1,11,10,0,1,99,11,97,99
0,11,11,1,0,99,12,97,99
1,11,11,1,1,99,12,87,99
1,11,11,1,1,99,12,87,99
1,12,12,0,1,96,12,87,99
1,12,12,0,0,96,13,87,99
0,12,13,0,0,96,13,87,99
0,12,13,0,0,96,13,87,74
0,12,13,0,0,96,13,87,74
0,12,13,0,0,96,13,87,74
1,12,13,0,0,96,13,98,74
1,12,13,0,1,99,13,98,74
0,12,14,0,1,99,13,98,74
0,12,14,0,0,99,14,98,74
0,12,14,0,0,99,14,98,99
0,12,14,0,0,99,14,99,99
0,12,14,0,0,99,14,99,99
0,12,14,0,0,99,14,99,99
0,12,14,0,0,99,14,99,99
0,12,14,0,0,99,14,99,99
0,12,14,0,0,99,14,99,99
0,12,14,1,1,99,14,99,99
1,12,14,1,1,99,14,99,99
1,13,14,0,0,37,15,99,99
0,13,16,1,0,37,15,99,44
1,13,15,1,0,37,16,99,44
1,13,15,1,1,37,15,12,44
0,14,16,0,1,37,15,12,44
0,14,16,0,0,37,16,12,44
0,14,16,0,0,49,16,12,44
0,14,16,1,0,49,16,12,44
0,14,16,1,0,49,16,12,94
0,14,16,1,0,49,17,12,94
0,15,16,0,1,49,16,99,94
0,15,16,0,1,49,16,99,94
0,15,16,0,0,99,17,99,94
0,15,16,0,0,99,17,99,94
0,15,16,0,0,99,17,99,94
0,15,16,0,0,99,17,99,98
0,15,16,0,0,99,17,99,98
0,15,16,0,0,99,17,99,98
0,15,16,0,0,99,17,98,98
0,15,16,0,0,99,17,98,98
1,15,16,1,0,99,17,98,98
1,15,16,1,0,99,17,98,99
1,16,16,1,0,99,17,98,99
1,16,16,1,0,99,17,98,99
1,16,16,1,0,99,17,99,99
0,17,17,1,0,99,18,99,99
0,17,18,1,1,99,17,99,99
1,18,17,0,1,99,17,99,45
1,18,17,0,0,99,18,99,45
0,18,18,0,0,99,18,74,45
0,18,18,0,0,99,18,74,45
0,18,18,0,1,96,18,74,45
0,18,18,0,1,96,18,74,45
1,18,18,0,0,96,19,74,99
1,18,18,0,0,96,19,74,99
0,18,19,0,0,96,19,74,99
0,18,19,0,0,96,19,99,99
0,18,19,0,0,99,19,99,99
0,18,19,0,0,99,19,99,99
0,18,19,0,0,99,19,99,99
0,18,19,0,0,99,19,99,99
0,18,19,0,0,99,19,99,99
0,18,19,0,0,99,19,99,99
0,18,19,0,0,99,19,99,99
0,18,19,1,0,24,19,99,99
1,18,19,1,0,24,19,99,99
0,19,20,0,1,24,19,12,99
0,19,20,1,1,24,19,12,99
1,19,20,1,0,97,20,12,99
0,20,21,0,1,97,20,12,99
0,20,21,0,0,97,21,12,99
0,20,21,0,0,97,21,12,99
0,20,21,0,0,97,21,94,99
0,20,21,1,0,97,21,94,99
0,21,21,0,1,99,21,94,99
0,21,21,0,1,99,21,94,99
0,21,21,0,0,99,22,94,99
0,21,21,0,0,99,22,99,99
0,21,21,0,0,99,22,99,99
0,21,21,0,0,87,22,99,99
0,21,21,0,0,87,22,99,99
0,21,21,0,0,87,22,99,51
0,21,21,0,0,87,22,99,51
1,21,21,0,0,87,22,99,51
1,21,21,0,1,87,22,99,51
1,21,22,0,0,99,23,99,51
0,21,23,0,1,99,23,99,51
1,20,23,0,1,99,23,99,99
1,20,23,1,0,99,23,53,99
0,20,24,1,0,99,23,53,99
0,20,24,1,0,97,22,53,99
0,20,24,1,0,97,22,53,99
0,20,22,0,0,97,22,53,99
0,20,22,1,0,97,22,53,99
