       eth0       
 Kbps in  Kbps out
   13.81      0.52
    1.76     53.96
   14.47     47.66
   18.42      0.33
   13.81     46.82
   13.76     46.63
   13.81     46.82
    0.00      0.00
   14.14     93.64
   18.42      0.33
   14.14     93.63
   13.81      0.33
   13.81     46.82
   13.81     46.82
    0.00      0.00
   18.42     46.82
   13.81     46.82
   13.81     46.82
   13.81     46.82
   13.81     46.82
    0.00      0.00
   18.42     46.82
   13.81     46.82
   14.14     93.64
   13.81      0.33
   13.81     46.82
    0.33     46.82
   18.42      0.33
   13.81     46.82
   13.81     46.82
   13.81     46.82
   13.81     46.82
