       eth0       
 Kbps in  Kbps out
   36.83     59.04
   16.09    201.30
   13.81    169.72
   13.81    169.72
    0.00      0.00
   14.80    345.97
   18.42      6.18
   13.81    187.28
   13.80    187.09
   13.81    193.14
    0.00      0.00
   14.14    362.86
   18.42      6.18
   13.80    187.08
   13.81    187.28
   13.81    187.28
    0.00      0.00
   13.81    187.28
   18.40    187.07
   13.81    187.28
   13.81    187.28
   13.81    193.14
   13.81    210.70
    0.00      0.00
   18.42    327.75
   13.81     29.26
   14.14    357.01
   13.81      6.18
   13.80    187.09
    0.00      0.00
   18.42    187.28
   13.81    187.28
