       eth0       
 Kbps in  Kbps out
   23.02      0.51
   24.78     31.07
   18.42     23.41
   13.81     23.41
    0.00      0.00
   14.80     47.48
   18.42      0.33
   13.81     23.41
   13.80     23.38
   13.81     23.41
    0.00      0.00
   14.14     46.82
   18.42      0.33
   13.79     23.38
   13.81     23.41
   13.81     23.41
   13.81     23.41
    0.00      0.00
   18.39     23.38
   13.81     23.41
   13.81     23.41
   13.81     23.41
   13.81     23.41
    0.00      0.00
   18.42     23.41
   13.81     23.41
   14.14     46.82
   13.81      0.33
   13.79     23.38
    0.33     23.41
   18.42      0.33
   13.81     23.41
